產品編號,品牌,種類,產品名稱,產品系列,簡稱
PD000000180,Bort,Foot,"Bort #930010 Valco Hallux Valgus Bandage (L) ""S""",Bort #930010 Valco Hallux Valgus Bandage,"Bort #930010 Valco Hallux Valgus Bandage (L) ""S"""
PD000000181,Bort,Foot,"Bort #930010 Valco Hallux Valgus Bandage (L) ""M""",Bort #930010 Valco Hallux Valgus Bandage,"Bort #930010 Valco Hallux Valgus Bandage (L) ""M"""
PD000000182,Bort,Foot,"Bort #930010 Valco Hallux Valgus Bandage (L) ""L""",Bort #930010 Valco Hallux Valgus Bandage,"Bort #930010 Valco Hallux Valgus Bandage (L) ""L"""
PD000000183,Bort,Foot,"Bort #930010 Valco Hallux Valgus Bandage (R) ""S""",Bort #930010 Valco Hallux Valgus Bandage,"Bort #930010 Valco Hallux Valgus Bandage (R) ""S"""
PD000000184,Bort,Foot,"Bort #930010 Valco Hallux Valgus Bandage (R) ""M""",Bort #930010 Valco Hallux Valgus Bandage,"Bort #930010 Valco Hallux Valgus Bandage (R) ""M"""
PD000000185,Bort,Foot,"Bort #930010 Valco Hallux Valgus Bandage (R) ""L""",Bort #930010 Valco Hallux Valgus Bandage,"Bort #930010 Valco Hallux Valgus Bandage (R) ""L"""
PD000000186,Bort,Foot,"Bort #112070 Metatarsal Bandage "" 16 """,Bort #112070 Metatarsal Bandage,"Bort #112070 Metatarsal Bandage "" 16 """
PD000000187,Bort,Foot,"Bort #112070 Metatarsal Bandage "" 17 """,Bort #112070 Metatarsal Bandage,"Bort #112070 Metatarsal Bandage "" 17 """
PD000000188,Bort,Foot,"Bort #112070 Metatarsal Bandage "" 18 """,Bort #112070 Metatarsal Bandage,"Bort #112070 Metatarsal Bandage "" 18 """
PD000000189,Bort,Foot,"Bort #112070 Metatarsal Bandage "" 19 """,Bort #112070 Metatarsal Bandage,"Bort #112070 Metatarsal Bandage "" 19 """
PD000000190,Bort,Foot,"Bort #112070 Metatarsal Bandage "" 20 """,Bort #112070 Metatarsal Bandage,"Bort #112070 Metatarsal Bandage "" 20 """
PD000000191,Bort,Foot,"Bort #112070 Metatarsal Bandage "" 21 """,Bort #112070 Metatarsal Bandage,"Bort #112070 Metatarsal Bandage "" 21 """
PD000000192,Bort,Foot,"Bort #112070 Metatarsal Bandage "" 22 """,Bort #112070 Metatarsal Bandage,"Bort #112070 Metatarsal Bandage "" 22 """
PD000000193,Bort,Foot,"Bort #112070 Metatarsal Bandage "" 23 """,Bort #112070 Metatarsal Bandage,"Bort #112070 Metatarsal Bandage "" 23 """
PD000000194,Bort,Foot,"Bort #112070 Metatarsal Bandage "" 24 """,Bort #112070 Metatarsal Bandage,"Bort #112070 Metatarsal Bandage "" 24 """
PD000000195,Bort,Cushion,Bort #190500 MultiCure Anti-Decubitus Gel Cushion,Bort #190500 MultiCure Anti-Decubitus,Bort #190500 MultiCure Anti-Decubitus Gel Cushion
PD000000196,Bort,Cushion,Bort #190530 Codyn Seat Cushion,Bort #190530 Codyn,Bort #190530 Codyn Seat Cushion
PD000000197,Bort,Pedi-soft,Bort #107100 Toe Cushion,Bort #107100 Toe Cushion,Bort #107100 Toe Cushion
PD000000198,Bort,EasyLife,Bort #108040 Pill Splitter,Bort #108040 Pill Splitter,Bort #108040 Pill Splitter
PD000000199,Bort,EasyLife,Bort #108070 Medicine Spoon,Bort #108070 Medicine Spoon,Bort #108070 Medicine Spoon
PD000000200,Bort,Back Cushion,Bort #112150 VITAL Back Cushion,Bort #112150 VITAL Back Cushion,Bort #112150 VITAL Back Cushion
PD000000201,Bort,Neck,"Bort #127260 Cervical Support (10 x 7.5 cm) ""S""",Bort #127260 Cervical Support,"Bort #127260 Cervical Support (10 x 7.5 cm) ""S"""
PD000000202,Bort,Neck,"Bort #127261 Cervical Support (10 x 7.5 cm) ""M""",Bort #127261 Cervical Support,"Bort #127261 Cervical Support (10 x 7.5 cm) ""M"""
PD000000203,Bort,Neck,"Bort #127268 Cervical Support (10 x 7.5 cm) ""L""",Bort #127268 Cervical Support,"Bort #127268 Cervical Support (10 x 7.5 cm) ""L"""
PD000000204,Bort,Neck,"Bort #127262 Cervical Support (12 x 9 cm) ""S""",Bort #127262 Cervical Support,"Bort #127262 Cervical Support (12 x 9 cm) ""S"""
PD000000205,Bort,Neck,"Bort #127263 Cervical Support (12 x 9 cm) ""M""",Bort #127263 Cervical Support,"Bort #127263 Cervical Support (12 x 9 cm) ""M"""
PD000000206,Bort,Neck,"Bort #127265 Cervical Support (12 x 9 cm) ""L""",Bort #127265 Cervical Support,"Bort #127265 Cervical Support (12 x 9 cm) ""L"""
PD000000207,Bort,Arm,"Bort #122500 EpiContur w/ 2 pads ""O""",Bort #122500 EpiContur w/ 2 pads,"Bort #122500 EpiContur w/ 2 pads ""O"""
PD000000208,Bort,Arm,"Bort #122500 EpiContur w/ 2 pads ""K""",Bort #122500 EpiContur w/ 2 pads,"Bort #122500 EpiContur w/ 2 pads ""K"""
PD000000209,Bort,Thumb,"Bort #105400 SellaDur (Left) Blue ""S""",Bort #105400 SellaDur (Left) Blue,"Bort #105400 SellaDur (Left) Blue ""S"""
PD000000210,Bort,Thumb,"Bort #105400 SellaDur (Left) Blue ""M""",Bort #105400 SellaDur (Left) Blue,"Bort #105400 SellaDur (Left) Blue ""M"""
PD000000211,Bort,Thumb,"Bort #105400 SellaDur (Left) Blue ""L""",Bort #105400 SellaDur (Left) Blue,"Bort #105400 SellaDur (Left) Blue ""L"""
PD000000212,Bort,Thumb,"Bort #105400 SellaDur (Right) Blue ""S""",Bort #105400 SellaDur (Right) Blue,"Bort #105400 SellaDur (Right) Blue ""S"""
PD000000213,Bort,Thumb,"Bort #105400 SellaDur (Right) Blue ""M""",Bort #105400 SellaDur (Right) Blue,"Bort #105400 SellaDur (Right) Blue ""M"""
PD000000214,Bort,Thumb,"Bort #105400 SellaDur (Right) Blue ""L""",Bort #105400 SellaDur (Right) Blue,"Bort #105400 SellaDur (Right) Blue ""L"""
PD000000215,Bort,Thumb,"Bort #105600 SellaDur FLOC (Left) Gray ""S""",Bort #105600 SellaDur FLOC (Left) Gray,"Bort #105600 SellaDur FLOC (Left) Gray ""S"""
PD000000216,Bort,Thumb,"Bort #105600 SellaDur FLOC (Left) Gray ""M""",Bort #105600 SellaDur FLOC (Left) Gray,"Bort #105600 SellaDur FLOC (Left) Gray ""M"""
PD000000217,Bort,Thumb,"Bort #105600 SellaDur FLOC (Left) Gray ""L""",Bort #105600 SellaDur FLOC (Left) Gray,"Bort #105600 SellaDur FLOC (Left) Gray ""L"""
PD000000218,Bort,Thumb,"Bort #105600 SellaDur FLOC (Right) Gray ""S""",Bort #105600 SellaDur FLOC (Right) Gray ,"Bort #105600 SellaDur FLOC (Right) Gray ""S"""
PD000000219,Bort,Thumb,"Bort #105600 SellaDur FLOC (Right) Gray ""M""",Bort #105600 SellaDur FLOC (Right) Gray ,"Bort #105600 SellaDur FLOC (Right) Gray ""M"""
PD000000220,Bort,Thumb,"Bort #105600 SellaDur FLOC (Right) Gray ""L""",Bort #105600 SellaDur FLOC (Right) Gray ,"Bort #105600 SellaDur FLOC (Right) Gray ""L"""
PD000000221,Bort,Foot,Bort #112800 Druckschutz (one set),Bort #112800 Druckschutz,Bort #112800 Druckschutz (one set)
PD000000222,Bort,Foot,"Bort #112800 Druckschutz ""S""",Bort #112800 Druckschutz,"Bort #112800 Druckschutz ""S"""
PD000000223,Bort,Foot,"Bort #112800 Druckschutz ""M""",Bort #112800 Druckschutz,"Bort #112800 Druckschutz ""M"""
PD000000224,Bort,Foot,"Bort #112800 Druckschutz ""L""",Bort #112800 Druckschutz,"Bort #112800 Druckschutz ""L"""
PD000000225,Bort,Active Support,"Bort #1440 Active Support Black ""S""",Bort #1440 Active Support Black,"Bort #1440 Active Support Black ""S"""
PD000000226,Bort,Active Support,"Bort #1440 Active Support Black ""M""",Bort #1440 Active Support Black,"Bort #1440 Active Support Black ""M"""
PD000000227,Bort,Active Support,"Bort #1440 Active Support Black ""L""",Bort #1440 Active Support Black,"Bort #1440 Active Support Black ""L"""
PD000000228,Bort,Active Support,"Bort #1440 Active Support Black ""XL""",Bort #1440 Active Support Black,"Bort #1440 Active Support Black ""XL"""
PD000000229,Bort,Active Support,"Bort #054700 Ankle Support w/Silicone Pads (L)""XL""",Bort #054700 Ankle Support w/Silicone Pads (L),"Bort #054700 Ankle Support w/Silicone Pads (L)""XL"""
PD000000230,Bort,Ankle,"Bort #054700 Ankle Support w/Silicone Pads (R)""XL""",Bort #054700 Ankle Support w/Silicone Pads,"Bort #054700 Ankle Support w/Silicone Pads (R)""XL"""
PD000000231,Bort,Neck,"Bort #127360 Cervical Support (10 x 7.5 cm)Lido""S""",Bort #127360 Cervical Support,"Bort #127360 Cervical Support (10 x 7.5 cm)Lido""S"""
PD000000232,Bort,Knee,"Bort #114700 Asymmetric (Left) ""XL""",Bort #114700 Asymmetric (Left),"Bort #114700 Asymmetric (Left) ""XL"""
PD000000233,Bort,Knee,"Bort #114700 Asymmetric (Right) ""XL""",Bort #114700 Asymmetric (Right),"Bort #114700 Asymmetric (Right) ""XL"""
PD000000234,Bort,Knee,"Bort #114460 Knee Bandage w/Articulated Joint ""S""",Bort #114460 Knee Bandage w/Articulated Joint,"Bort #114460 Knee Bandage w/Articulated Joint ""S"""
PD000000235,Bort,Knee,"Bort #114460 Knee Bandage w/Articulated Joint ""M""",Bort #114460 Knee Bandage w/Articulated Joint,"Bort #114460 Knee Bandage w/Articulated Joint ""M"""
PD000000236,Bort,Knee,"Bort #114460 Knee Bandage w/Articulated Joint ""L""",Bort #114460 Knee Bandage w/Articulated Joint,"Bort #114460 Knee Bandage w/Articulated Joint ""L"""
PD000000237,Bort,Knee,"Bort #114460 Knee Bandage w/Articulated Joint ""XL""",Bort #114460 Knee Bandage w/Articulated Joint,"Bort #114460 Knee Bandage w/Articulated Joint ""XL"""
PD000000238,Bort,Finger,"Bort #112520 Capener Splint Extension ""S""",Bort #112520 Capener Splint Extension,"Bort #112520 Capener Splint Extension ""S"""
PD000000239,Bort,Finger,"Bort #112520 Capener Splint Extension ""M""",Bort #112520 Capener Splint Extension,"Bort #112520 Capener Splint Extension ""M"""
PD000000240,Bort,Finger,"Bort #112520 Capener Splint Extension ""L""",Bort #112520 Capener Splint Extension,"Bort #112520 Capener Splint Extension ""L"""
PD000000241,Bort,Wrist,"Bort #103580 Arm and Wrist Splint (L) ""XS""",Bort #103580 Arm and Wrist Splint (L),"Bort #103580 Arm and Wrist Splint (L) ""XS"""
PD000000242,Bort,Wrist,"Bort #103580 Arm and Wrist Splint (L) ""S""",Bort #103580 Arm and Wrist Splint (L),"Bort #103580 Arm and Wrist Splint (L) ""S"""
PD000000243,Bort,Wrist,"Bort #103580 Arm and Wrist Splint (L) ""M""",Bort #103580 Arm and Wrist Splint (L),"Bort #103580 Arm and Wrist Splint (L) ""M"""
PD000000244,Bort,Wrist,"Bort #103580 Arm and Wrist Splint (L) ""L""",Bort #103580 Arm and Wrist Splint (L),"Bort #103580 Arm and Wrist Splint (L) ""L"""
PD000000245,Bort,Wrist,"Bort #103580 Arm and Wrist Splint (L) ""XL""",Bort #103580 Arm and Wrist Splint (L),"Bort #103580 Arm and Wrist Splint (L) ""XL"""
PD000000246,Bort,Wrist,"Bort #103580 Arm and Wrist Splint (R) ""XS""",Bort #103580 Arm and Wrist Splint (R),"Bort #103580 Arm and Wrist Splint (R) ""XS"""
PD000000247,Bort,Wrist,"Bort #103580 Arm and Wrist Splint (R) ""S""",Bort #103580 Arm and Wrist Splint (R),"Bort #103580 Arm and Wrist Splint (R) ""S"""
PD000000248,Bort,Wrist,"Bort #103580 Arm and Wrist Splint (R) ""M""",Bort #103580 Arm and Wrist Splint (R),"Bort #103580 Arm and Wrist Splint (R) ""M"""
PD000000249,Bort,Wrist,"Bort #103580 Arm and Wrist Splint (R) ""L""",Bort #103580 Arm and Wrist Splint (R),"Bort #103580 Arm and Wrist Splint (R) ""L"""
PD000000250,Bort,Wrist,"Bort #103580 Arm and Wrist Splint (R) ""XL""",Bort #103580 Arm and Wrist Splint (R),"Bort #103580 Arm and Wrist Splint (R) ""XL"""
PD000000251,Bort,Pedi-soft,Bort #107070 Heel Cushion,Bort #107070 Heel Cushion,Bort #107070 Heel Cushion
PD000000252,Bort,Ankle,"Bort #114100 Stabilo Ankle Support ""XS""",Bort #114100 Stabilo Ankle Support,"Bort #114100 Stabilo Ankle Support ""XS"""
PD000000253,Bort,Ankle,"Bort #114100 Stabilo Ankle Support ""S""",Bort #114100 Stabilo Ankle Support,"Bort #114100 Stabilo Ankle Support ""S"""
PD000000254,Bort,Ankle,"Bort #114100 Stabilo Ankle Support ""M""",Bort #114100 Stabilo Ankle Support,"Bort #114100 Stabilo Ankle Support ""M"""
PD000000255,Bort,Ankle,"Bort #114100 Stabilo Ankle Support ""L""",Bort #114100 Stabilo Ankle Support,"Bort #114100 Stabilo Ankle Support ""L"""
PD000000256,Bort,Ankle,"Bort #114100 Stabilo Ankle Support ""XL""",Bort #114100 Stabilo Ankle Support,"Bort #114100 Stabilo Ankle Support ""XL"""
PD000000257,Bort,Wrist,"Bort #112220 ManuZip Volar (L) ""S""",Bort #112220 ManuZip Volar (L),"Bort #112220 ManuZip Volar (L) ""S"""
PD000000258,Bort,Wrist,"Bort #112220 ManuZip Volar (L) ""L""",Bort #112220 ManuZip Volar (L),"Bort #112220 ManuZip Volar (L) ""L"""
PD000000259,Bort,Wrist,"Bort #112220 ManuZip Volar (R) ""S""",Bort #112220 ManuZip Volar (R),"Bort #112220 ManuZip Volar (R) ""S"""
PD000000260,Bort,Wrist,"Bort #112220 ManuZip Volar (R) ""M""",Bort #112220 ManuZip Volar (R),"Bort #112220 ManuZip Volar (R) ""M"""
PD000000261,Bort,Wrist,"Bort #112220 ManuZip Volar (R) ""L""",Bort #112220 ManuZip Volar (R),"Bort #112220 ManuZip Volar (R) ""L"""
PD000000262,Bort,Wrist,"Bort #112130 Wrist Strap (L) ""XS""",Bort #112130 Wrist Strap (L),"Bort #112130 Wrist Strap (L) ""XS"""
PD000000263,Bort,Wrist,"Bort #112130 Wrist Strap (L) ""S""",Bort #112130 Wrist Strap (L),"Bort #112130 Wrist Strap (L) ""S"""
PD000000264,Bort,Wrist,"Bort #112130 Wrist Strap (L) ""M""",Bort #112130 Wrist Strap (L),"Bort #112130 Wrist Strap (L) ""M"""
PD000000265,Bort,Wrist,"Bort #112130 Wrist Strap (L) ""L""",Bort #112130 Wrist Strap (L),"Bort #112130 Wrist Strap (L) ""L"""
PD000000266,Bort,Wrist,"Bort #112130 Wrist Strap (L) ""XL""",Bort #112130 Wrist Strap (L),"Bort #112130 Wrist Strap (L) ""XL"""
PD000000267,Bort,Wrist,"Bort #112130 Wrist Strap (R) ""XS""",Bort #112130 Wrist Strap (R),"Bort #112130 Wrist Strap (R) ""XS"""
PD000000268,Bort,Wrist,"Bort #112130 Wrist Strap (R) ""S""",Bort #112130 Wrist Strap (R),"Bort #112130 Wrist Strap (R) ""S"""
PD000000269,Bort,Wrist,"Bort #112130 Wrist Strap (R) ""M""",Bort #112130 Wrist Strap (R),"Bort #112130 Wrist Strap (R) ""M"""
PD000000270,Bort,Wrist,"Bort #112130 Wrist Strap (R) ""L""",Bort #112130 Wrist Strap (R),"Bort #112130 Wrist Strap (R) ""L"""
PD000000271,Bort,Wrist,"Bort #112130 Wrist Strap (R) ""XL""",Bort #112130 Wrist Strap (R),"Bort #112130 Wrist Strap (R) ""XL"""
PD000000272,Bort,Hernia,"Bort #104800 Hernia Aid ""S""",Bort #104800 Hernia Aid,"Bort #104800 Hernia Aid ""S"""
PD000000273,Bort,Hernia,"Bort #104800 Hernia Aid ""M""",Bort #104800 Hernia Aid,"Bort #104800 Hernia Aid ""M"""
PD000000274,Bort,Hernia,"Bort #104800 Hernia Aid ""L""",Bort #104800 Hernia Aid,"Bort #104800 Hernia Aid ""L"""
PD000000275,Bort,Pedi-soft,Bort #107620 Blasenpflaster,Bort #107620 Blasenpflaster,Bort #107620 Blasenpflaster
PD000000276,Bort,Hernia,"Bort #105200 Hernia Panty for Men ""M""",Bort #105200 Hernia Panty for Men,"Bort #105200 Hernia Panty for Men ""M"""
PD000000277,Bort,Foot,Bort #112090 Hammer Toe Correction Bandage,Bort #112090 Hammer Toe,Bort #112090 Hammer Toe Correction Bandage
PD000000278,Bort,Thumb,"Bort #112040 SellaFix N (Left) ""S""",Bort #112040 SellaFix N (Left),"Bort #112040 SellaFix N (Left) ""S"""
PD000000279,Bort,Thumb,"Bort #112040 SellaFix N (Left) ""M""",Bort #112040 SellaFix N (Left),"Bort #112040 SellaFix N (Left) ""M"""
PD000000280,Bort,Thumb,"Bort #112040 SellaFix N (Left) ""L""",Bort #112040 SellaFix N (Left),"Bort #112040 SellaFix N (Left) ""L"""
PD000000281,Bort,Thumb,"Bort #112040 SellaFix N (Right) ""S""",Bort #112040 SellaFix N (Right) ,"Bort #112040 SellaFix N (Right) ""S"""
PD000000282,Bort,Thumb,"Bort #112040 SellaFix N (Right) ""M""",Bort #112040 SellaFix N (Right) ,"Bort #112040 SellaFix N (Right) ""M"""
PD000000283,Bort,Thumb,"Bort #112040 SellaFix N (Right) ""L""",Bort #112040 SellaFix N (Right) ,"Bort #112040 SellaFix N (Right) ""L"""
PD000000284,Bort,Body,"Bort #104100 Abdominal Support Skin ""S""",Bort #104100 Abdominal Support Skin ,"Bort #104100 Abdominal Support Skin ""S"""
PD000000285,Bort,Body,"Bort #104100 Abdominal Support Skin ""M""",Bort #104100 Abdominal Support Skin ,"Bort #104100 Abdominal Support Skin ""M"""
PD000000286,Bort,Body,"Bort #104100 Abdominal Support Skin ""L""",Bort #104100 Abdominal Support Skin ,"Bort #104100 Abdominal Support Skin ""L"""
PD000000287,Bort,Body,"Bort #104100 Abdominal Support Skin ""XL""",Bort #104100 Abdominal Support Skin ,"Bort #104100 Abdominal Support Skin ""XL"""
PD000000288,Bort,Ankle,"Bort #104500 Ankle Support ""S""",Bort #104500 Ankle Support,"Bort #104500 Ankle Support ""S"""
PD000000289,Bort,Ankle,"Bort #104500 Ankle Support ""M""",Bort #104500 Ankle Support,"Bort #104500 Ankle Support ""M"""
PD000000290,Bort,Ankle,"Bort #104500 Ankle Support ""L""",Bort #104500 Ankle Support,"Bort #104500 Ankle Support ""L"""
PD000000291,Bort,Medical Machine,"Bort #118100 EasyLife Reacher, foldable","Bort #118100 EasyLife Reacher, foldable","Bort #118100 EasyLife Reacher, foldable"
PD000000292,Bort,Clima-Care,"Bort #106700 Clima-Care Joint Warmer ""S""",Bort #106700 Clima-Care Joint Warmer,"Bort #106700 Clima-Care Joint Warmer ""S"""
PD000000293,Bort,Clima-Care,"Bort #106700 Clima-Care Joint Warmer ""M""",Bort #106700 Clima-Care Joint Warmer,"Bort #106700 Clima-Care Joint Warmer ""M"""
PD000000294,Bort,Clima-Care,"Bort #106700 Clima-Care Joint Warmer ""L""",Bort #106700 Clima-Care Joint Warmer,"Bort #106700 Clima-Care Joint Warmer ""L"""
PD000000295,Bort,Clima-Care,"Bort #106700 Clima-Care Joint Warmer ""XL""",Bort #106700 Clima-Care Joint Warmer,"Bort #106700 Clima-Care Joint Warmer ""XL"""
PD000000296,Bort,Wrist,"Bort #103200 ManuCarpal - Orthosis (L) ""XS""",Bort #103200 ManuCarpal - Orthosis (L),"Bort #103200 ManuCarpal - Orthosis (L) ""XS"""
PD000000297,Bort,Wrist,"Bort #103200 ManuCarpal - Orthosis (L) ""S""",Bort #103200 ManuCarpal - Orthosis (L),"Bort #103200 ManuCarpal - Orthosis (L) ""S"""
PD000000298,Bort,Wrist,"Bort #103200 ManuCarpal - Orthosis (L) ""M""",Bort #103200 ManuCarpal - Orthosis (L),"Bort #103200 ManuCarpal - Orthosis (L) ""M"""
PD000000299,Bort,Wrist,"Bort #103200 ManuCarpal - Orthosis (L) ""L""",Bort #103200 ManuCarpal - Orthosis (L),"Bort #103200 ManuCarpal - Orthosis (L) ""L"""
PD000000300,Bort,Wrist,"Bort #103200 ManuCarpal - Orthosis (L) ""XL""",Bort #103200 ManuCarpal - Orthosis (L),"Bort #103200 ManuCarpal - Orthosis (L) ""XL"""
PD000000301,Bort,Wrist,"Bort #103200 ManuCarpal - Orthosis (L) ""XXL""",Bort #103200 ManuCarpal - Orthosis (L),"Bort #103200 ManuCarpal - Orthosis (L) ""XXL"""
PD000000302,Bort,Wrist,"Bort #103200 ManuCarpal - Orthosis (R) ""XS""",Bort #103200 ManuCarpal - Orthosis (R),"Bort #103200 ManuCarpal - Orthosis (R) ""XS"""
PD000000303,Bort,Wrist,"Bort #103200 ManuCarpal - Orthosis (R) ""S""",Bort #103200 ManuCarpal - Orthosis (R),"Bort #103200 ManuCarpal - Orthosis (R) ""S"""
PD000000304,Bort,Wrist,"Bort #103200 ManuCarpal - Orthosis (R) ""M""",Bort #103200 ManuCarpal - Orthosis (R),"Bort #103200 ManuCarpal - Orthosis (R) ""M"""
PD000000305,Bort,Wrist,"Bort #103200 ManuCarpal - Orthosis (R) ""L""",Bort #103200 ManuCarpal - Orthosis (R),"Bort #103200 ManuCarpal - Orthosis (R) ""L"""
PD000000306,Bort,Wrist,"Bort #103200 ManuCarpal - Orthosis (R) ""XL""",Bort #103200 ManuCarpal - Orthosis (R),"Bort #103200 ManuCarpal - Orthosis (R) ""XL"""
PD000000307,Bort,Wrist,"Bort #103200 ManuCarpal - Orthosis (R) ""XXL""",Bort #103200 ManuCarpal - Orthosis (R),"Bort #103200 ManuCarpal - Orthosis (R) ""XXL"""
PD000000308,Bort,Medical Machine,Bort #951500 Putty,Bort #951500 Putty,Bort #951500 Putty
PD000000309,Bort,Wrist,Bort #182520 Stabilo Pren Wrist Bandage,Bort #182520 Stabilo Pren,Bort #182520 Stabilo Pren Wrist Bandage
PD000000310,Bort,Body,"Bort #104710 Stabilo Back Bandage w/ Pelotte ""S""",Bort #104710 Stabilo Back Bandage w/ Pelotte ,"Bort #104710 Stabilo Back Bandage w/ Pelotte ""S"""
PD000000311,Bort,Body,"Bort #104710 Stabilo Back Bandage w/ Pelotte ""M""",Bort #104710 Stabilo Back Bandage w/ Pelotte ,"Bort #104710 Stabilo Back Bandage w/ Pelotte ""M"""
PD000000312,Bort,Body,"Bort #104710 Stabilo Back Bandage w/ Pelotte ""L""",Bort #104710 Stabilo Back Bandage w/ Pelotte ,"Bort #104710 Stabilo Back Bandage w/ Pelotte ""L"""
PD000000313,Bort,Body,"Bort #104710 Stabilo Back Bandage w/ Pelotte ""XL""",Bort #104710 Stabilo Back Bandage w/ Pelotte ,"Bort #104710 Stabilo Back Bandage w/ Pelotte ""XL"""
PD000000314,Bort,Wrist,"Bort #133300 Finger Joint Support (L) ""XS""",Bort #133300 Finger Joint Support (L),"Bort #133300 Finger Joint Support (L) ""XS"""
PD000000315,Bort,Wrist,"Bort #133300 Finger Joint Support (L) ""S""",Bort #133300 Finger Joint Support (L),"Bort #133300 Finger Joint Support (L) ""S"""
PD000000316,Bort,Wrist,"Bort #133300 Finger Joint Support (L) ""M""",Bort #133300 Finger Joint Support (L),"Bort #133300 Finger Joint Support (L) ""M"""
PD000000317,Bort,Wrist,"Bort #133300 Finger Joint Support (L) ""L""",Bort #133300 Finger Joint Support (L),"Bort #133300 Finger Joint Support (L) ""L"""
PD000000318,Bort,Wrist,"Bort #133300 Finger Joint Support (L)""XL""",Bort #133300 Finger Joint Support (L),"Bort #133300 Finger Joint Support (L)""XL"""
PD000000319,Bort,Wrist,"Bort #133300 Finger Joint Support (R) ""XS""",Bort #133300 Finger Joint Support (R),"Bort #133300 Finger Joint Support (R) ""XS"""
PD000000320,Bort,Wrist,"Bort #133300 Finger Joint Support (R) ""S""",Bort #133300 Finger Joint Support (R),"Bort #133300 Finger Joint Support (R) ""S"""
PD000000321,Bort,Wrist,"Bort #133300 Finger Joint Support (R) ""M""",Bort #133300 Finger Joint Support (R),"Bort #133300 Finger Joint Support (R) ""M"""
PD000000322,Bort,Wrist,"Bort #133300 Finger Joint Support (R) ""L""",Bort #133300 Finger Joint Support (R),"Bort #133300 Finger Joint Support (R) ""L"""
PD000000323,Bort,Wrist,"Bort #133300 Finger Joint Support (R) ""XL""",Bort #133300 Finger Joint Support (R),"Bort #133300 Finger Joint Support (R) ""XL"""
PD000000324,Bort,Thumb,"Bort #112710 SOFT Thumb Splint, short ""S""","Bort #112710 SOFT Thumb Splint, short","Bort #112710 SOFT Thumb Splint, short ""S"""
PD000000325,Bort,Thumb,"Bort #112710 SOFT Thumb Splint, short ""M""","Bort #112710 SOFT Thumb Splint, short","Bort #112710 SOFT Thumb Splint, short ""M"""
PD000000326,Bort,Thumb,"Bort #112710 SOFT Thumb Splint, short ""L""","Bort #112710 SOFT Thumb Splint, short","Bort #112710 SOFT Thumb Splint, short ""L"""
PD000000327,Bort,Body,"Bort #102900 Rib Belt for Women ""S""",Bort #102900 Rib Belt for Women,"Bort #102900 Rib Belt for Women ""S"""
PD000000328,Bort,Body,"Bort #102900 Rib Belt for Women ""M""",Bort #102900 Rib Belt for Women,"Bort #102900 Rib Belt for Women ""M"""
PD000000329,Bort,Body,"Bort #102900 Rib Belt for Women ""L""",Bort #102900 Rib Belt for Women,"Bort #102900 Rib Belt for Women ""L"""
PD000000330,Bort,Body,"Bort #102900 Rib Belt for Women ""XL""",Bort #102900 Rib Belt for Women,"Bort #102900 Rib Belt for Women ""XL"""
PD000000331,Bort,Arm,"Bort #122580 Epicondylitis-Brace "" 1 """,Bort #122580 Epicondylitis-Brace,"Bort #122580 Epicondylitis-Brace "" 1 """
PD000000332,Bort,Arm,"Bort #122580 Epicondylitis-Brace "" 2 """,Bort #122580 Epicondylitis-Brace,"Bort #122580 Epicondylitis-Brace "" 2 """
PD000000333,Bort,Neck,"Bort #127361 Cervical Support (10 x 7.5 cm)Lido""M""",Bort #127361 Cervical Support,"Bort #127361 Cervical Support (10 x 7.5 cm)Lido""M"""
PD000000334,Bort,Neck,"Bort #127368 Cervical Support (10 x 7.5 cm)Lido""L""",Bort #127368 Cervical Support,"Bort #127368 Cervical Support (10 x 7.5 cm)Lido""L"""
PD000000335,Bort,Thumb,"Bort #103500 Thumb/Hand Orthosis (Left) ""XS""",Bort #103500 Thumb/Hand Orthosis (Left),"Bort #103500 Thumb/Hand Orthosis (Left) ""XS"""
PD000000336,Bort,Thumb,"Bort #103500 Thumb/Hand Orthosis (Left) ""S""",Bort #103500 Thumb/Hand Orthosis (Left),"Bort #103500 Thumb/Hand Orthosis (Left) ""S"""
PD000000337,Bort,Thumb,"Bort #103500 Thumb/Hand Orthosis (Left) ""L""",Bort #103500 Thumb/Hand Orthosis (Left),"Bort #103500 Thumb/Hand Orthosis (Left) ""L"""
PD000000338,Bort,Thumb,"Bort #103500 Thumb/Hand Orthosis (Left) ""XL""",Bort #103500 Thumb/Hand Orthosis (Left),"Bort #103500 Thumb/Hand Orthosis (Left) ""XL"""
PD000000339,Bort,Thumb,"Bort #103500 Thumb/Hand Orthosis (Left) ""XXL""",Bort #103500 Thumb/Hand Orthosis (Left),"Bort #103500 Thumb/Hand Orthosis (Left) ""XXL"""
PD000000340,Bort,Thumb,"Bort #103500 Thumb/Hand Orthosis (Right) ""XS""",Bort #103500 Thumb/Hand Orthosis (Right),"Bort #103500 Thumb/Hand Orthosis (Right) ""XS"""
PD000000341,Bort,Thumb,"Bort #103500 Thumb/Hand Orthosis (Right) ""S""",Bort #103500 Thumb/Hand Orthosis (Right),"Bort #103500 Thumb/Hand Orthosis (Right) ""S"""
